Nº,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN E.E.,ZONA,CORREO ELECTRÓNICO
1,AGUACHICA,COLEGIO  CRISTIANO LA ROCA,CALLE 7A  Nº 14-49,URBANA,colcristianolaroca@hotmail.com
2,AGUACHICA,C.E. MUNDO INFANTIL,CARRERA 10 Nº 5A-241,URBANA,asarabias@hotmail.com
3,AGUACHICA,C.E. RAFAEL POMBO,CALLE 7 NORTE Nº 39-55,URBANA,rafaelpombo2012@hotmail.com
4,AGUACHICA,C.E. RETOÑITOS,CARRERA 11 Nº 9-31,URBANA,centroretonitos@hotmail.com
5,AGUACHICA,COLEGIO BILINGUE LOS ANGELES,CALLE 3 Nº 20-30 / CARRERA 21 N° 3-60,URBANA,colbiangeles@yahoo.es
6,AGUACHICA,C.E. CRISTIANO EL NORAL,CALLE 4 Nº 17-36,URBANA,colcristianoelnoral@gmail.com
7,AGUACHICA,COLEGIO TERESIANO REINA DEL CARMELO,CALLE 6 Nº 17-44,URBANA,teresianoreinadelcarmelo@gmail.com
8,AGUACHICA,INSITUTO PEDAGOGICO CARITAS FELICES,CARRERA 9 Nº 5A-81,URBANA,ip.caritasfelices@gmail.com
9,AGUACHICA,INSTITUTO AGUACHICA,CARRERA 19 Nº 0-75,URBANA,instituto.aguachica@hotmail.com
10,AGUACHICA,INSTITUTO FRANCISCO JOSE DE CALDAS,CARRERA 16 Nº 7-92,URBANA,insfranciscojosedecaldasagua@hotmail.com
11,AGUACHICA,JARDIN INFANTIL ESCALANDO MI MUNDO,CARRERA 10B Nº 9-05,URBANA,escalandomimundoaguachica@outlook.es
12,AGUACHICA,COLEGIO PARA LA REINTEGRACIÓN INTELECTUAL DEL ORIENTE,CALLE 5 # 24-46,URBANA,edilsareyes1@hotmail.com
13,AGUACHICA,JARDIN INFANTIL MANITAS CREATIVAS,CALLE 6 N° 24 A - 03,URBANA,martaorjuela@yahoo.es
14,AGUACHICA,JARDIN INFANTIL MIS PRIMERAS LETRAS,CARRERA 10 Nº 5A-111,URBANA,jarpile@hotmail.com
15,AGUACHICA,LICEO DEL SUR,CARRERA 14 # 6 -23,URBANA,josemolinacaviedes@gmail.com; rincondeangel@hotmail.com
16,AGUACHICA,LICEO HUMANISTA DE AGUACHICA,CARRERA 18 Nº 3-03,URBANA,liceohumanistadeaguachica@hotmail.com
17,AGUACHICA,LICEO SAN ROQUE,CALLE 3 Nº 10-89,URBANA,"lucho120354@gmail.com,anaquinterobadillo@gmail.com"
18,AGUACHICA,COLEGIO BILINGÜE HOWARD GARDNER,CARRERA 29 # 5 -65,URBANA,colbilinhg@outlook.es
19,AGUACHICA,I.E DEJANDO HUELLA,CALLE 1 # 33 - 24,URBANA,dejandohuellas_1@hotmail.com
20,AGUACHICA,IE FUENTE DE VIDA,CALLE 3 # 37 - 38,URBANA,institucioneducativafuentedevida@hotmail.com
21,AGUACHICA,COLEGIO CAMPESTRE DIVINO AMOR,calle 5 número 0-85 vía Gamarra,URBANA,colegiocampestredivinoamor@gmail.com
22,AGUSTIN CODAZZI,C.E. SANTA TERESITA,CARRERA 14 Nº 11A-120,URBANA,"caffez1970@hotmail.com, laineraquelhenaodaza@hotmail.com"
23,AGUSTIN CODAZZI,C.E. MARIA MONTESSORI,CALLE 11 CARRERA 16 - 19,URBANA,argenidariza@hotmail.com
24,AGUSTIN CODAZZI,"CENTRO PEDAGOGICO ESTUDIANTIL CODAZZI ""CENPEC""",DIAGONAL 12 Nº 18-107,URBANA,monicptcia@hotmail.com
25,AGUSTIN CODAZZI,COLEGIO COOPERATIVO EL BUEN PASTOR,CALLE 26 Nº 22-20,URBANA,colcoobuenpas2009@hotmail.com
26,AGUSTIN CODAZZI,COLEGIO EL CORAZON DE MARIA,CARRERA 18 Nº 15-59,URBANA,henrydavid24@gmail.com
27,AGUSTIN CODAZZI,COLEGIO EDAD DEL NIÑO,CARRERA 5 N 4 23,RURAL,coedni.10@gmail.com
28,AGUSTIN CODAZZI,FUNDACION EDUCATIVA NUESTRA SEÑORA DE LAS FLORES,KILOMETRO 5 CARRETERA NACIONAL,RURAL,mnunive@oleoflores.com
29,AGUSTIN CODAZZI,GIMNASIO DE LA SABIDURÍA,CALLE 12 Nº 18-111,URBANA,osmeca16@hotmail.com
30,AGUSTIN CODAZZI,I.E. GABRIEL GARCIA MARQUEZ,CALLE 12 Nº 22-77 BARRIO VILLA ESTHER,URBANA,ieggm@hotmail.com
31,AGUSTIN CODAZZI,JARDIN INFANTIL MICKEY MOUSE,CALLE 9 Nº 29-19,URBANA,"mariamo17@hotmail.es, jimickeymouse2020@gmail.com"
32,AGUSTIN CODAZZI,JARDIN INFANTIL MIS PRIMEROS PASOS,CALLE 14 Nº 12-36,URBANA,ademisprimerospasos@hotmail.com
33,AGUSTIN CODAZZI,JARDIN INFANTIL MUNDO MAGICO,CALLE 18 Nº 13-104,URBANA,oliviavalencia@outlook.com
34,AGUSTIN CODAZZI,JARDIN INFANTIL NIÑOS EXPLORADORES,CALLE 20 Nº 19 - 48,URBANA,calim2009@hotmail.com
35,AGUSTIN CODAZZI,CONSTRUYENDO FUTURO,CALLE 21 # 10 - 30 BARRIO EL ESTADIO,URBANA,"cconstruyendofuturo@hotmail.com, mercedesrp24@gmail.com"
36,AGUSTIN CODAZZI,LICEO JOSE MARIA CORDOBA,CALLE 21 Nº 13-38,URBANA,aripameg@hotmail.com
37,AGUSTIN CODAZZI,INSTITUTO EDUCATIVO COMFACESAR,CRA 16 # 18 -26 CENTRO,URBANA,uiscodazzi@comfacesar.com;sandraoso-31@hotmail.com
38,AGUSTIN CODAZZI,COLEGIO LA SANTISIMA TRINIDAD,CALLE 13 # 8- 25 Barrio Santa Rita,URBANA,digna697@gmail.com
39,BECERRIL,C.E. CRISTIANO EMANUEL,CARRERA 10 N° 4A - 39 BARRIO LA ESPERANZA,URBANA,aldemarmendo4@hotmail.com
40,BECERRIL,CIMA DEL NORTE,CALLE 10 # 8 - 71,URBANA,financiera@itn.edu.co
41,BECERRIL,COLEGIO SAGRADO CORAZON DE JESUS,CALLE 9 N 5-09,URBANA,COLSAGRADO07@hotmail.com
42,BOSCONIA,COLEGIO MIS PRIMEROS AMIGUITOS,CARRERA 21 Nº 15-54,URBANA,colegiomisprimerosamiguitos@gmail.com
43,BOSCONIA,GIMNASIO MODERNO,CARRERA 22 Nº 10-45,URBANA,ssocialbos@hotmail.com
44,BOSCONIA,HAPPY PLANET INSTITUTE,CALLE 16 Nº 19-35,URBANA,missandra1211@hotmail.com;saulo_1964@hotmail.com
45,BOSCONIA,INSTITUTO DON BOSCO,CALLE 20 Nº 18A-24,URBANA,institutodonbosconia@hotmail.com
46,BOSCONIA,INSTITUTO NUEVA ESPERANZA,CARRERA 21 Nº 15-54,URBANA,aristoflorez@hotmail.com
47,BOSCONIA,INSTITUTO RAFAEL NUÑEZ,CARRERA 20 N° 18A - 24,URBANA,"institutorafaelnunez@hotmail.com, rafael.nunez.bosconia@gmail.com, institutorafaelnunez.valledupar@gmail.com"
48,BOSCONIA,COLEGIO EXPLORADORES DEL SABER,CARRERA 17 # 19 - 31 BARRIO LOS ANGELES,URBANA,ninosexploradores16@gmail.com
49,BOSCONIA,CIMA DEL NORTE,CARRERA 16 Nº 21 - 54,URBANA,financiera@itn.edu.co
50,BOSCONIA,INSTITUTO JOSE EUSEBIO CARO,CARRERA 22 Nº 10-45,URBANA,institutojoseeusebiocaro@gmail.com
51,CHIMICHAGUA,C.E. JARDIN INFANTIL GIMNASIO BILINGUE,CALLE 5 N° 6 -62,URBANA,GIMNASIOBILINGUE@HOTMAIL.COM
52,CHIRIGUANA,COLEGIO JOSE GALIANO FELICE,"CALLE 6 N° 3-50, 3 - 62",URBANA,eddygr_12@hotmail.com
53,CHIRIGUANA,JARDIN INFANTIL MARIA AUXILIADORA,CARRERA 2 Nº 6-04,URBANA,saidatm24@hotmail.com
54,CHIRIGUANA,JARDIN INFANTIL MIS PRIMERAS LETRAS,CARRERA 3 Nº 8-46,URBANA,yiyakarinaj@gmail.com
55,CURUMANI,COLEGIO EDUCADORES DEL REY,CL 6 N° 17-59,URBANA,loseducadoresdelrey@gmail.com
56,CURUMANI,INSTITUCION EDUCATIVA SAN PABLO,CALLE 10 N° 11 - 68,URBANA,instedsp@gmail.com
57,CURUMANI,INSTITUTO DIVINO SALVADOR,CALLE 7 Nº 18-64 BARRIO SAN JOSE,URBANA,indisal_1983@hotmail.com
58,EL COPEY,GIMNASIO MODERNO CAMPESTRE,CALLE 13 Nº 17-40,URBANA,colgimoceamp@gmail.com
59,EL COPEY,I.E. MARIA MONTESSORI,CALLE 11 Nº 19-55,URBANA,misa74rise@yahoo.es
60,EL COPEY,CIMA DEL NORTE,CRA 11 # 19- 25,URBANA,financiera@itn.edu.co
61,EL COPEY,LICEO DEL NORTE JESUS MAESTRO,CARRERA 18 Nº 8-102,URBANA,hetfziba1965@hotmail.com
62,EL COPEY,CENTRO EDUCATIVO THALITA CUMI,KR 17 N° 16-04,URBANA,centrothalitacumi@gmail.com
63,EL PASO,COLEGIO NUESTRA SEÑORA DE FÁTIMA,CARRERA 6 CALLE 4-65,URBANA,benialtamar@hotmail.com
64,EL PASO,COLEGIO MIS SEMILLITAS,CALLE 3 Nº 5-64,RURAL,colmissemillitas@hotmail.com
65,EL PASO,GIMNASIO EDUKIDS,CORREG. LA LOMA DE CALENTURAS,RURAL,luf37@hotmail.com
66,EL PASO,JARDIN INFANTIL BURBUJAS DE LA SABIDURIA,calle central la loma de calenturas,RURAL,luz_m_altamar@hotmail.com
67,EL PASO,CENTRO EDUCATIVO DIVINO MAESTRO,Cra17#7-55,RURAL,cdivinomaestro@gmail.com;douperpe@hotmail.com
68,EL PASO,COLEGIO DIVINO NIÑO,calle 3 5-65 corregimiento la loma de calenturas,RURAL,colegiodivinonino-13@hotmail.com
69,EL PASO,JARDIN INFANTIL GOTITAS DE AMOR,CRA 4A # 1B # 26 BARRIO PARAISO,URBANA,jardingotitasdeamor@outlook.com
70,LA JAGUA DE IBIRICO,"INSTITUTO PSICOPEDAGOGICO APRENDIENDO JUNTOS
INSTITUTO PSICOPEDAGOGICO APRENDIENDO JUNTS
INSTITUTO PSICOPEDAGOGICO APRENDIENDO JUNTS
INSTITUTO PSICOPEDAGOGICO APRENDIENDO JUNTS
INSTITUTO PSICOPEDAGOGICO APRENDIENDO JUNTS
INSTITUTO PSICOPEDAGOGICO APRENDIENDO JUNTS",CL 2 N° 5-25,URBANA,manjarrezcampo@hotmail.com
71,LA JAGUA DE IBIRICO,JARDIN INFANTIL LOS MONACHOS,CALLE 5  Nº 4-21,URBANA,mattyod08@hotmail.com
72,LA JAGUA DE IBIRICO,C.E. KINDERLANDIA,CALLE 10 Nº 3A-78,URBANA,"kinderlandiacenter@hotmail.com, mayuca1456@hotmail.com"
73,LA JAGUA DE IBIRICO,CENTRO EDUCATIVO CRISTO ES MI REFUGIO,CALLE 3 # 5 - 114 B. TOSCANO,URBANA,cristoesmirefugio@gmail.com
74,LA JAGUA DE IBIRICO,"CENTRO EDUCATIVO DE DESARROLLO HUMANO ""COELGIO CEDHI""",CALLE 2 N° 3 - 65 BARRIO SANTANDER,URBANA,evangelina.perezcorzo11@gmail.com;colegiocedhi@gmail.com
75,LA JAGUA DE IBIRICO,CENTRO EDUCATIVO CASTILLO DEL SABER,TV 1 E N° 9-33,URBANA,castillodelsaber@hotmail.com
76,LA JAGUA DE IBIRICO,COLEGIO MIS PRIMEROS PASOS,DIAGONAL 11 N° 2-52,URBANA,colegiomisprimerospasos2019@gmail.com
77,LA PAZ,C.E. DIVINO NIÑO,CARRERA 3A Nº 6-54,URBANA,cedivinoninodelapaz@hotmail.com
78,LA PAZ,C.E. MARANATA,CARRERA 7 N° 9A - 59,URBANA,yalcotes@hotmail.com
79,LA PAZ,COLEGIO SAN FRANCISCO DE ASIS,CARRERA 8 Nº 6-61,URBANA,lianamejia@hotmail.com
80,LA PAZ,GIMNASIO DE LA PAZ,CALLE  4 Nº 8 - 68,URBANA,gimnasiodelapaz@gmail.com
81,PAILITAS,COLEGIO BILINGÜE JOSE ANGEL MEDINA,CALLE 5 Nº 6-75,URBANA,colbilinguejam@hotmail.com
82,PAILITAS,INSTITUTO EDUCATIVO SAN JOSE DE TUNUMA,CALLE 29 Nº 5-54,URBANA,andres05122009@hotmail.com
83,PELAYA,CENTRO PEDAGOGICO ESTUDIANTIL DE PELAYA  CENPEP,CL 6 9 50,URBANA,cenpecpelaya@gmail.com
84,PELAYA,COLEGIO CRISTIANO ROSA SERRANO,CALLE 10 N° 9-36,URBANA,colegiorosaserrano@gmail.com;richardunidos47@gmail.com
85,PELAYA,INSTITUTO PEDAGOGICO CRISTIANO SEMILLAS DE ESPERANZA,KR 9 N° 8-27,URBANA,inspecsem2020@gmail.com
86,SAN ALBERTO,COLEGIO DISCOVERY KIDS,CALLE 2N Nº 2N-16,URBANA,rochyaldia2014@gmail.com
87,SAN ALBERTO,COLEGIO INDUPALMA,CALLE 12 Nº 2N-59,URBANA,eromero@indupalma.com
88,SAN ALBERTO,LICEO HUMANISTA,CL 2 N 2N 45,URBANA,liceohumanistadeaguachica@hotmail.com
89,SAN DIEGO,COLEGIO LOS ANGELES,CARRERA 7 Nº 2D-12,URBANA,mariaangelnieves@hotmail.com
90,SAN DIEGO,COLEGIO SAGRADO CORAZON DE JESUS,CARRERA 9 Nº 2C-39,URBANA,chavearzuaga@hotmail.com
91,SAN DIEGO,CENTRO EDUATIVO PASITOS FELICES,CALLE 3 # 9- 65 BARRIO CENTRO,URBANA,centroeducativopasitosfelices@gmail.com; speraza@gmail.com
92,SAN MARTIN,CENTRO EDUCATIVO CAMINANDO JUNTOS,KR 7 N° 10-90,URBANA,ingrysfaviana@hotmail.com
93,SAN MARTIN,LICEO HUMANISTA,KR 7 8 102,URBANA,liceohumanistadeaguachica@hotmail.com
94,SAN MARTIN,LICEO ROGELIO ORLANDO ALVAREZ,CALLE 15 Nº 9-46,URBANA,liroa1991@hotmail.com
