DEPARTAMENTO,MUNICIPIO,NOMBRE,DIRECCIOÓN,TELÉFONO,NOMBRE DE RECTOR,TIPO ESTABLECIMIENTO,SECTOR,ZONA,NÚMERO DE SEDES,PROPIEDAD DE LA PLANTAFISÍCA,CALENDARIO,CORREO ELECTRÓNICO,LATITUD,LONGITUD,localizacionfinal
CASANARE,YOPAL,IE EL PARAISO,Cra 7 No. 30 - 01,6349750,MARIA ESPERANZA VILLAMIL PINEDA,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,OFICIAL,A,colegioelparaiso@hotmail.com,5.326495,-72.403180,POINT (-72.40318 5.326495)
CASANARE,YOPAL,IE MANUELA BELTRAN,Cll 25 No. 19 - 29,6357140,TERESITA DE JESUS MORALES GIRALDO,INSTITUCION EDUCATIVA,OFICIAL,URBANA,2,OFICIAL,A,iemanuelabeltranyopal@hotmail.com,5.335286,-72.394334,POINT (-72.394334 5.335286)
CASANARE,YOPAL,IE LUCILA PIRAGAUTA,Cll 33 No. 18 - 50,3206700305,CARLOS ALBERTO LOZADA BENITEZ,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,OFICIAL,A,ielucilapiragauta@gmail.com,5.327460,-72.391187,POINT (-72.391187 5.32746)
CASANARE,YOPAL,IE TÉCNICA EMPRESARIAL LLANO LINDO ITELL,Cra 4 Oeste No. 64B - 03,3115912745,MARIA LUCILA SALAMANCA RODRIGUEZ,INSTITUCION EDUCATIVA,OFICIAL,URBANA,2,OFICIAL,A,llanolindo2009@hotmail.com,5.329818,-72.409751,POINT (-72.409751 5.329818)
CASANARE,YOPAL,INSTITUTO TECNICO AMBIENTAL SAN MATEO,Cll 37 No. 12 - 86,6355076,LUIS SERVANDO GONZALEZ AYALA,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,OFICIAL,A,colsanmat@yahoo.es,5.320705,-72.396995,POINT (-72.396995 5.320705)
CASANARE,YOPAL,LICEO GUSTAVO MATAMOROS LEON,Km 1 Vía marginal de la selva,6357940,MARY LUZ NIÑO ESPEJO,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,REGIMEN ESPECIAL,A,direccionlgml@hotmail.com,5.346906,-72.405645,POINT (-72.405645 5.346906)
CASANARE,YOPAL,IE CARLOS LLERAS RESTREPO,Cra 31A No. 26B - 18,3124334026,WILSON PEREZ ALARCON,INSTITUCION EDUCATIVA,OFICIAL,URBANA,2,OFICIAL,A,iecarlosllerasyopal@hotmail.com,5.339025,-72.382489,POINT (-72.382489 5.339025)
CASANARE,YOPAL,INSTITUTO  TECNICO EMPRESARIAL EL YOPAL,Cra 21 No. 39 - 05,6343559,CIRO ANDRES SUAREZ JIMENEZ,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,OFICIAL,A,empresarial_itey@hotmail.com,5.324868,-72.385533,POINT (-72.385533 5.324868)
CASANARE,YOPAL,IE JORGE ELIECER GAITAN,Cll 19 No. 15 - 39,6357350,ANGEL HERNANDO COMBARIZA ALVARADO,INSTITUCION EDUCATIVA,OFICIAL,URBANA,2,OFICIAL,A,insejeg@hotmail.com,5.337972,-72.399959,POINT (-72.399959 5.337972)
CASANARE,YOPAL,IE CENTRO SOCIAL,Cra 23 No. 11 - 45,3107850622,MARIA TERESA PRIETO HERREÑO,INSTITUCION EDUCATIVA,OFICIAL,URBANA,2,EDUCACION MISIONAL CONTRATADA,A,iecentrosocial@gmail.com,5.347360,-72.396093,POINT (-72.396093 5.34736)
CASANARE,YOPAL,IE LA CAMPIÑA,Cra 9 No. 23 - 77,6357402,YESID JIMÉNEZ,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,OFICIAL,A,colegiocampina@hotmail.com,5.333193,-72.404808,POINT (-72.404808 5.333193)
CASANARE,YOPAL,MEGACOLEGIO EL PROGRESO DE LA COMUNA V,Cll 44 No. 8 - 40,3118485792,GLORIA AIDEE FLOREZ GUERRERO,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,OFICIAL,A,iemegacolegio2013@outlook.com,5.315191,-72.400367,POINT (-72.400367 5.315191)
CASANARE,YOPAL,CE LA ESMERALDA,Cll 47 No. 16B - 120,3203440517,MARCO TULIO PALMA ALFARO,INSTITUCION EDUCATIVA,OFICIAL,URBANA,1,OFICIAL,A,Ce.laesmeralda21@gmail.com,5.311930,-72.400341,POINT (-72.400341 5.31193)
CASANARE,YOPAL,IE DIVINO SALVADOR,Vda Palobajito,3125835085,ARIEL BELTRAN SAENZ,INSTITUCION EDUCATIVA,OFICIAL,RURAL,14,OFICIAL,A,ierdivinosalvador@gmail.com,5.408234,-72.313413,POINT (-72.313413 5.408234)
CASANARE,YOPAL,IE GABRIELA MISTRAL,Corregimiento el Charte,3202508815,ENERIO VARGAS MEDINA,INSTITUCION EDUCATIVA,OFICIAL,RURAL,8,OFICIAL,A,colgami1340@gmail.com,5.266235,-72.478766,POINT (-72.478766 5.266235)
CASANARE,YOPAL,IE EL TRIUNFO,Corregimiento de Tacarimena,3112476362,FANDER MELLER TORRES MARTINEZ,INSTITUCION EDUCATIVA,OFICIAL,RURAL,8,OFICIAL,A,coltriunfo.yopal@gmail.com,5.350257,-72.215499,POINT (-72.215499 5.350257)
CASANARE,YOPAL,I.E. SANTA TERESA,Vda Punto Nuevo,3213742061,NUBIA AMPARO DUCON ACEVEDO,INSTITUCION EDUCATIVA,OFICIAL,RURAL,6,OFICIAL,A,colsantateresapn2@gmail.com,5.200494,-72.049440,POINT (-72.04944 5.200494)
CASANARE,YOPAL,IE LA INMACULADA,Corregimiento Tilodiran,3214983981,PEDRO SALCEDO RODRIGUEZ,INSTITUCION EDUCATIVA,OFICIAL,RURAL,7,OFICIAL,A,lainmaculadatilo@yahoo.es,5.139933,-72.207716,POINT (-72.207716 5.139933)
CASANARE,YOPAL,IE ANTONIO NARIÑO,Corregimiento el Morro,3108123402,FERNANDO AUGUSTO PAREDES DIAZ,INSTITUCION EDUCATIVA,OFICIAL,RURAL,15,OFICIAL,A,colantonionarmorro@hotmail.com,5.453292,-72.455685,POINT (-72.455685 5.453292)
CASANARE,YOPAL,IE POLICARPA SALAVARRIETA,Corregimiento Santa de Morichal,3206700305,GREGORIO PERILLA RAMIREZ,INSTITUCION EDUCATIVA,OFICIAL,RURAL,8,OFICIAL,A,policarpasalavarrietta@gmail.com,5.230650,-72.389264,POINT (-72.389264 5.23065)
CASANARE,YOPAL,INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA LORGIO RODRÍGUEZ,Vda El Taladro,3214983981,HENRY ALFONSO MARALES BARRERA,INSTITUCION EDUCATIVA,OFICIAL,RURAL,4,OFICIAL,A,ietaeltaladro@hotmail.com,5.200394,-72.049707,POINT (-72.049707 5.200394)
CASANARE,YOPAL,IE LUIS CARLOS GALAN SARMIENTO,Corregimiento la Chaparrera,3103060905,LEONARDO HEILER MORA CASTAÑEDA,INSTITUCION EDUCATIVA,OFICIAL,RURAL,6,OFICIAL,A,lucargas@yahoo.es,5.493499,-72.226426,POINT (-72.226426 5.493499)
CASANARE,YOPAL,IE LUIS HERNANDEZ VARGAS,Tra 18 No. 10 - 126,3103413373,LUZ MYRIAM MARTINEZ CALA,INSTITUCION EDUCATIVA,OFICIAL,"URBANA,RURAL",4,OFICIAL,A,luhervar4yopal@yahoo.com,5.344275,-72.402740,POINT (-72.40274 5.344275)
CASANARE,YOPAL,I.E. TERESA DE CALCUTA,Cra 31 No. 49 - 03,3112326984,LUZ MILA CASTILLO BARON,INSTITUCION EDUCATIVA,OFICIAL,"URBANA,RURAL",4,OFICIAL,A,cetc.yopal@yahoo.es,5.324934,-72.371772,POINT (-72.371772 5.324934)
CASANARE,YOPAL,IE BRAULIO GONZALEZ,Cll 13 No. 23 - 60,6358397,JAIME RINCON SERRANO,INSTITUCION EDUCATIVA,OFICIAL,"URBANA,RURAL",3,OFICIAL,A,colbraulio@hotmail.com,5.347211,-72.395109,POINT (-72.395109 5.347211)
